Item Number,GTIN Number,Mill Code,Mill Description,Style Number,Mill Style Number,Style Name,Color Code,Color Description,Size Code,Size Description,Unit Weight,Cost,CC,CD,FO,KC,MA,PH,TD,CN,WA,GD
B02104003,0884417086310,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,00,WHITE/ BLACK,3,S,.4417,0,13,0,0,0,0,0,0,0,0,7
B02104004,0884417086327,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,00,WHITE/ BLACK,4,M,.4417,0,1,0,0,0,0,0,0,3,0,18
B02104005,0884417086334,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,00,WHITE/ BLACK,5,L,.4417,0,23,0,0,0,0,0,0,0,0,71
B02104006,0884417086341,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,00,WHITE/ BLACK,6,XL,.4417,0,42,0,0,0,0,0,0,18,0,159
B02104007,0884417086358,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,00,WHITE/ BLACK,7,2XL,.4417,0,31,0,0,0,0,0,0,23,0,115
B02104008,0884417086365,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,00,WHITE/ BLACK,8,3XL,.4417,0,16,0,0,0,0,0,0,20,0,59
B02104513,0884417086433,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,51,BLACK/ WHITE,3,S,.4417,0,0,0,0,0,0,0,0,0,0,5
B02104514,0884417086440,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,51,BLACK/ WHITE,4,M,.4417,0,7,0,0,0,0,0,0,0,0,46
B02104515,0884417086457,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,51,BLACK/ WHITE,5,L,.4417,0,45,0,0,0,0,0,0,44,0,108
B02104516,0884417086464,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,51,BLACK/ WHITE,6,XL,.4417,0,0,0,0,0,0,0,0,37,0,181
B02104517,0884417086471,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,51,BLACK/ WHITE,7,2XL,.4417,0,0,0,0,0,0,0,0,0,0,0
B02104518,0884417086488,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,51,BLACK/ WHITE,8,3XL,.4417,0,0,0,0,0,0,0,0,0,0,0
B02104523,0884417086198,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,52,POWER RED/ BLACK,3,S,.4417,0,0,0,0,0,0,0,0,0,0,0
B02104524,0884417086204,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,52,POWER RED/ BLACK,4,M,.4417,0,0,0,0,0,0,0,0,0,0,4
B02104525,0884417086211,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,52,POWER RED/ BLACK,5,L,.4417,0,0,0,0,0,0,0,0,0,0,0
B02104526,0884417086228,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,52,POWER RED/ BLACK,6,XL,.4417,0,12,0,0,0,0,0,0,0,0,90
B02104527,0884417086235,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,52,POWER RED/ BLACK,7,2XL,.4417,0,3,0,0,0,0,0,0,0,0,76
B02104528,0884417086242,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,52,POWER RED/ BLACK,8,3XL,.4417,0,0,0,0,0,0,0,0,0,0,22
B02104763,0884417086372,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,76,DARK NAVY/ WHITE,3,S,.4417,0,29,0,0,0,0,0,0,26,0,32
B02104764,0884417086389,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,76,DARK NAVY/ WHITE,4,M,.4417,0,65,0,0,0,0,0,0,16,0,133
B02104765,0884417086396,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,76,DARK NAVY/ WHITE,5,L,.4417,0,69,0,0,0,0,0,0,47,0,174
B02104766,0884417086402,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,76,DARK NAVY/ WHITE,6,XL,.4417,0,26,0,0,0,0,0,0,50,0,115
B02104767,0884417086419,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,76,DARK NAVY/ WHITE,7,2XL,.4417,0,12,0,0,0,0,0,0,16,0,21
B02104768,0884417086426,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,76,DARK NAVY/ WHITE,8,3XL,.4417,0,12,0,0,0,0,0,0,18,0,3
B02104773,0884417086259,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,77,CLEAR BLUE/ BLK,3,S,.4417,0,6,0,0,0,0,0,0,16,0,71
B02104774,0884417086266,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,77,CLEAR BLUE/ BLK,4,M,.4417,0,26,0,0,0,0,0,0,23,0,193
B02104775,0884417086273,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,77,CLEAR BLUE/ BLK,5,L,.4417,0,1,0,0,0,0,0,0,28,0,230
B02104776,0884417086280,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,77,CLEAR BLUE/ BLK,6,XL,.4417,0,38,0,0,0,0,0,0,6,0,169
B02104777,0884417086297,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,77,CLEAR BLUE/ BLK,7,2XL,.4417,0,18,0,0,0,0,0,0,15,0,65
B02104778,0884417086303,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,77,CLEAR BLUE/ BLK,8,3XL,.4417,0,9,0,0,0,0,0,0,23,0,36
B02104EQ3,0888164826410,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,EQ,CLEAR ONIX/ BLK,3,S,.4417,0,17,0,0,0,0,0,0,5,0,32
B02104EQ4,0888164826380,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,EQ,CLEAR ONIX/ BLK,4,M,.4417,0,24,0,0,0,0,0,0,21,0,80
B02104EQ5,0888164826403,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,EQ,CLEAR ONIX/ BLK,5,L,.4417,0,19,0,0,0,0,0,0,26,0,120
B02104EQ6,0888164826427,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,EQ,CLEAR ONIX/ BLK,6,XL,.4417,0,1,0,0,0,0,0,0,9,0,194
B02104EQ7,0888164826434,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,EQ,CLEAR ONIX/ BLK,7,2XL,.4417,0,40,0,0,0,0,0,0,21,0,66
B02104EQ8,0888164826397,04,adidas Golf,A72,TMF08-M1999SMU,AD MENS CLIMA 3 STRPE GOLF TEE,EQ,CLEAR ONIX/ BLK,8,3XL,.4417,0,0,0,0,0,0,0,0,0,0,6
B03104003,0884894764954,04,adidas Golf,A76,,AD MENS CLIMALITE 3 STRIPE CUF,00,WHITE/ BLACK,3,S,.8458,0,17,0,4,0,12,5,0,27,0,4
B03104004,0884894764961,04,adidas Golf,A76,,AD MENS CLIMALITE 3 STRIPE CUF,00,WHITE/ BLACK,4,M,.8458,0,0,0,25,0,2,18,0,15,0,163
B03104005,0884894764978,04,adidas Golf,A76,,AD MENS CLIMALITE 3 STRIPE CUF,00,WHITE/ BLACK,5,L,.8458,0,0,0,34,0,21,37,0,16,0,505
B03104006,0884894764985,04,adidas Golf,A76,,AD MENS CLIMALITE 3 STRIPE CUF,00,WHITE/ BLACK,6,XL,.8458,0,51,0,85,0,14,11,0,2,0,120
B03104007,0884894764992,04,adidas Golf,A76,,AD MENS CLIMALITE 3 STRIPE CUF,00,WHITE/ BLACK,7,2XL,.8458,0,0,0,36,0,16,4,0,21,0,121
B03104008,0884894765005,04,adidas Golf,A76,,AD MENS CLIMALITE 3 STRIPE CUF,00,WHITE/ BLACK,8,3XL,.8458,0,0,0,0,0,0,0,0,0,0,0
B03104103,0884894764770,04,adidas Golf,A76,,AD MENS CLIMALITE 3 STRIPE CUF,10,P0WER RED/ WHT,3,S,.8458,0,26,0,24,43,11,5,0,24,0,113
B03104104,0884894764787,04,adidas Golf,A76,,AD MENS CLIMALITE 3 STRIPE CUF,10,P0WER RED/ WHT,4,M,.8458,0,97,0,6,31,25,27,0,22,0,234
B03104105,0884894764794,04,adidas Golf,A76,,AD MENS CLIMALITE 3 STRIPE CUF,10,P0WER RED/ WHT,5,L,.8458,0,133,0,36,58,32,25,0,40,0,454
B03104106,0884894764800,04,adidas Golf,A76,,AD MENS CLIMALITE 3 STRIPE CUF,10,P0WER RED/ WHT,6,XL,.8458,0,48,0,28,42,0,9,0,40,0,1623
